************************************************************
numVars,numInstances,numFocalElements,numConfigs,time
2,1085,100,100,33
2,1086,100,100,34
2,1087,100,100,34
2,1088,100,100,33
2,1089,100,100,34
2,1090,100,100,33
2,1091,100,100,35
2,1092,100,100,34
2,1093,100,100,35
2,1094,100,100,34
2,1095,100,100,34
2,1096,100,100,34
2,1097,100,100,33
2,1098,100,100,34
2,1099,100,100,33
2,1100,100,100,33
2,1101,100,100,34
2,1102,100,100,33
2,1103,100,100,35
2,1104,100,100,33
2,1105,100,100,34
2,1106,100,100,33
2,1107,100,100,34
2,1108,100,100,33
2,1109,100,100,32
2,1110,100,100,35
2,1111,100,100,34
2,1112,100,100,34
2,1113,100,100,31
2,1114,100,100,33
2,1115,100,100,35
2,1116,100,100,40
2,1117,100,100,34
2,1118,100,100,33
2,1119,100,100,34
2,1120,100,100,35
2,1121,100,100,33
2,1122,100,100,34
2,1123,100,100,33
2,1124,100,100,33
2,1125,100,100,34
2,1126,100,100,34
2,1127,100,100,34
2,1128,100,100,34
2,1129,100,100,34
2,1130,100,100,31
2,1131,100,100,49
2,1132,100,100,34
2,1133,100,100,34
2,1134,100,100,33
2,1135,100,100,33
2,1136,100,100,35
2,1137,100,100,34
2,1138,100,100,34
2,1139,100,100,34
2,1140,100,100,33
2,1141,100,100,34
2,1142,100,100,34
2,1143,100,100,34
2,1144,100,100,34
2,1145,100,100,33
2,1146,100,100,33
2,1147,100,100,33
2,1148,100,100,35
2,1149,100,100,33
2,1150,100,100,34
2,1151,100,100,34
2,1152,100,100,33
2,1153,100,100,31
2,1154,100,100,31
2,1155,100,100,38
2,1156,100,100,32
2,1157,100,100,35
2,1158,100,100,35
2,1159,100,100,35
2,1160,100,100,33
2,1161,100,100,36
2,1162,100,100,34
